prime,resonance,mod12,gap,nearest_target,distance
3719,0.000000,11,8,3125,594.0
3727,0.000000,7,6,3125,602.0
3733,0.000000,1,6,3125,608.0
3739,0.000000,7,22,3125,614.0
3761,0.000000,5,6,3125,636.0
3767,0.000000,11,2,3125,642.0
3769,0.000000,1,10,3125,644.0
3779,0.000000,11,14,3125,654.0
3793,0.000000,1,4,3125,668.0
3797,0.000000,5,6,3125,672.0
3803,0.000000,11,18,3125,678.0
3821,0.000000,5,2,3125,696.0
3823,0.000000,7,10,3125,698.0
3833,0.000000,5,14,3125,708.0
3847,0.000000,7,4,3125,722.0
3851,0.000000,11,2,3125,726.0
3853,0.000000,1,10,3125,728.0
3863,0.000000,11,14,3125,738.0
3877,0.000000,1,4,3125,752.0
3881,0.000000,5,8,3125,756.0
3889,0.000000,1,18,3125,764.0
3907,0.000000,7,4,3125,782.0
3911,0.000000,11,6,3125,786.0
3917,0.000000,5,2,3125,792.0
3919,0.000000,7,4,3125,794.0
3923,0.000000,11,6,3125,798.0
3929,0.000000,5,2,3125,804.0
3931,0.000000,7,12,3125,806.0
3943,0.000000,7,4,3125,818.0
3947,0.000000,11,20,3125,822.0
3967,0.000000,7,22,3125,842.0
3989,0.000000,5,12,3125,864.0
4001,0.000000,5,2,3125,876.0
4003,0.000000,7,4,3125,878.0
4007,0.000000,11,6,3125,882.0
4013,0.000000,5,6,3125,888.0
4019,0.000000,11,2,3125,894.0
4021,0.000000,1,6,3125,896.0
4027,0.000000,7,22,3125,902.0
4049,0.000000,5,2,3125,924.0
4051,0.000000,7,6,3125,926.0
4057,0.000000,1,16,3125,932.0
4073,0.000000,5,6,3125,948.0
4079,0.000000,11,12,3125,954.0
4091,0.000000,11,2,3125,966.0
4093,0.000000,1,6,3125,968.0
4099,0.000000,7,12,3125,974.0
4111,0.000000,7,16,3125,986.0
4127,0.000000,11,2,3125,1002.0
4129,0.000000,1,4,3125,1004.0
4133,0.000000,5,6,3125,1008.0
4139,0.000000,11,14,3125,1014.0
4153,0.000000,1,4,3125,1028.0
4157,0.000000,5,2,3125,1032.0
4159,0.000000,7,18,3125,1034.0
4177,0.000000,1,24,3125,1052.0
4201,0.000000,1,10,3125,1076.0
4211,0.000000,11,6,3125,1086.0
4217,0.000000,5,2,3125,1092.0
4219,0.000000,7,10,3125,1094.0
4229,0.000000,5,2,3125,1104.0
4231,0.000000,7,10,3125,1106.0
4241,0.000000,5,2,3125,1116.0
4243,0.000000,7,10,3125,1118.0
4253,0.000000,5,6,3125,1128.0
4259,0.000000,11,2,3125,1134.0
4261,0.000000,1,10,3125,1136.0
4271,0.000000,11,2,3125,1146.0
4273,0.000000,1,10,3125,1148.0
4283,0.000000,11,6,3125,1158.0
4289,0.000000,5,8,3125,1164.0
4297,0.000000,1,30,3125,1172.0
4327,0.000000,7,10,3125,1202.0
4337,0.000000,5,2,3125,1212.0
4339,0.000000,7,10,3125,1214.0
4349,0.000000,5,8,3125,1224.0
4357,0.000000,1,6,3125,1232.0
4363,0.000000,7,10,3125,1238.0
4373,0.000000,5,18,3125,1248.0
4391,0.000000,11,6,3125,1266.0
4397,0.000000,5,12,3125,1272.0
4409,0.000000,5,12,3125,1284.0
4421,0.000000,5,2,3125,1296.0
4423,0.000000,7,18,3125,1298.0
4441,0.000000,1,6,3125,1316.0
4447,0.000000,7,4,3125,1322.0
